,Country,Code,Year,Continent,Gender,Percentage,Longitude,Latitude
323,Namibia,NAM,2019,,Females,6.300000191,17,-22
324,Nauru,NRU,2019,,Males,48.40000153,166.9167,-0.5333
325,Nauru,NRU,2019,,Females,49.90000153,166.9167,-0.5333
326,Nepal,NPL,2019,,Males,49.09999847,84,28
327,Nepal,NPL,2019,,Females,13.80000019,84,28
328,Netherlands,NLD,2019,,Males,24.79999924,5.75,52.5
329,Netherlands,NLD,2019,,Females,20.29999924,5.75,52.5
330,New Caledonia,NCL,2019,,Males,,165.5,-21.5
331,New Caledonia,NCL,2019,,Females,,165.5,-21.5
332,New Zealand,NZL,2019,,Males,15.5,174,-41
333,New Zealand,NZL,2019,,Females,12.80000019,174,-41
334,Nicaragua,NIC,2019,,Males,,-85,13
335,Nicaragua,NIC,2019,,Females,,-85,13
336,Niger,NER,2019,,Males,13.89999962,8,16
337,Niger,NER,2019,,Females,1.200000048,8,16
338,Nigeria,NGA,2019,,Males,7.199999809,8,10
339,Nigeria,NGA,2019,,Females,0.5,8,10
340,Niue,NIU,2019,,Males,,-169.8667,-19.0333
341,Niue,NIU,2019,,Females,,-169.8667,-19.0333
342,North America,,2019,,Males,27.50847244,0,0
343,North America,,2019,,Females,17.11489868,0,0
344,North Korea,PRK,2019,,Males,35.5,127,40
345,North Korea,PRK,2019,,Females,0,127,40
346,North Macedonia,MKD,2019,,Males,,22,41.8333
347,North Macedonia,MKD,2019,,Females,,22,41.8333
348,Northern Mariana Islands,MNP,2019,,Males,,145.75,15.2
349,Northern Mariana Islands,MNP,2019,,Females,,145.75,15.2
350,Norway,NOR,2019,,Males,17.89999962,10,62
351,Norway,NOR,2019,,Females,16.20000076,10,62
352,Oceania,,2019,,Males,,0,0
353,Oceania,,2019,,Females,,0,0
354,Oman,OMN,2019,,Males,15.39999962,57,21
355,Oman,OMN,2019,,Females,0.400000006,57,21
356,Pakistan,PAK,2019,,Males,33.90000153,70,30
357,Pakistan,PAK,2019,,Females,7.699999809,70,30
358,Palau,PLW,2019,,Males,27.60000038,134.5,7.5
359,Palau,PLW,2019,,Females,8.100000381,134.5,7.5
360,Palestine,PSE,2019,,Males,,35.25,32
361,Palestine,PSE,2019,,Females,,35.25,32
362,Panama,PAN,2019,,Males,8.199999809,-80,9
363,Panama,PAN,2019,,Females,2.299999952,-80,9
364,Papua New Guinea,PNG,2019,,Males,54.20000076,147,-6
365,Papua New Guinea,PNG,2019,,Females,25.60000038,147,-6
366,Paraguay,PRY,2019,,Males,19.5,-58,-23
367,Paraguay,PRY,2019,,Females,4.699999809,-58,-23
368,Peru,PER,2019,,Males,14.10000038,-76,-10
369,Peru,PER,2019,,Females,3.200000048,-76,-10
370,Philippines,PHL,2019,,Males,40,122,13
371,Philippines,PHL,2019,,Females,6.699999809,122,13
372,Poland,POL,2019,,Males,28.60000038,20,52
373,Poland,POL,2019,,Females,20.70000076,20,52
374,Portugal,PRT,2019,,Males,30.60000038,-8,39.5
375,Portugal,PRT,2019,,Females,20,-8,39.5
376,Puerto Rico,PRI,2019,,Males,,-66.5,18.25
377,Puerto Rico,PRI,2019,,Females,,-66.5,18.25
378,Qatar,QAT,2019,,Males,21.89999962,51.25,25.5
379,Qatar,QAT,2019,,Females,2,51.25,25.5
380,Reunion,REU,2019,,Males,,55.6,-21.1
381,Reunion,REU,2019,,Females,,55.6,-21.1
382,Romania,ROU,2019,,Males,36.5,25,46
383,Romania,ROU,2019,,Females,20.20000076,25,46
384,Russia,RUS,2019,,Males,41.5,100,60
385,Russia,RUS,2019,,Females,12.69999981,100,60
386,Rwanda,RWA,2019,,Males,20.79999924,30,-2
387,Rwanda,RWA,2019,,Females,7.400000095,30,-2
388,Saint Barthlemy,,2019,,Males,,0,0
389,Saint Barthlemy,,2019,,Females,,0,0
390,Saint Helena,SHN,2019,,Males,,-5.7,-15.9333
391,Saint Helena,SHN,2019,,Females,,-5.7,-15.9333
392,Saint Kitts and Nevis,KNA,2019,,Males,,-62.75,17.3333
393,Saint Kitts and Nevis,KNA,2019,,Females,,-62.75,17.3333
394,Saint Lucia,LCA,2019,,Males,,-61.1333,13.8833
395,Saint Lucia,LCA,2019,,Females,,-61.1333,13.8833
396,Saint Martin (French part),MAF,2019,,Males,,0,0
397,Saint Martin (French part),MAF,2019,,Females,,0,0
398,Saint Pierre and Miquelon,SPM,2019,,Males,,-56.3333,46.8333
399,Saint Pierre and Miquelon,SPM,2019,,Females,,-56.3333,46.8333
400,Saint Vincent and the Grenadines,VCT,2019,,Males,,-61.2,13.25
401,Saint Vincent and the Grenadines,VCT,2019,,Females,,-61.2,13.25
402,Samoa,WSM,2019,,Males,36.79999924,-172.3333,-13.5833
403,Samoa,WSM,2019,,Females,14.89999962,-172.3333,-13.5833
404,San Marino,SMR,2019,,Males,,12.4167,43.7667
405,San Marino,SMR,2019,,Females,,12.4167,43.7667
406,Sao Tome and Principe,STP,2019,,Males,10.10000038,7,1
407,Sao Tome and Principe,STP,2019,,Females,1.399999976,7,1
408,Saudi Arabia,SAU,2019,,Males,26.29999924,45,25
409,Saudi Arabia,SAU,2019,,Females,2.099999905,45,25
410,Senegal,SEN,2019,,Males,13.5,-14,14
411,Senegal,SEN,2019,,Females,0.699999988,-14,14
412,Serbia,SRB,2019,,Males,41.09999847,21,44
413,Serbia,SRB,2019,,Females,39,21,44
414,Seychelles,SYC,2019,,Males,34.59999847,55.6667,-4.5833
